연봉	실수령액	공제액계	국민연금	건강보험	장기요양	고용보험	소득세	지방소득세	공제비율
10000000	9252396	747600	395880	274440	20160	57120	0	0	0.07476
11000000	10167432	832560	440880	305640	22440	63600	0	0	0.075687273
12000000	11082000	918000	486000	336960	24840	70200	0	0	0.0765
13000000	11986356	1013640	530880	368040	27120	76680	9960	960	0.077972308
14000000	12884832	1115160	575880	399240	29400	83160	25080	2400	0.079654286
15000000	13782960	1217040	621000	430560	31680	89640	40200	3960	0.081136
16000000	14681556	1318440	665880	461640	33960	96120	55320	5520	0.0824025
17000000	15573912	1426080	710880	492840	36360	102600	75840	7560	0.083887059
18000000	16464480	1535520	756000	524160	38640	109200	97800	9720	0.085306667
19000000	17355756	1644240	800880	555240	40920	115680	119640	11880	0.086538947
20000000	18246792	1753200	845880	586440	43200	122160	141480	14040	0.08766
21000000	19137480	1862520	891000	617760	45480	128640	163320	16320	0.088691429
22000000	20028516	1971480	935880	648840	47880	135120	185280	18480	0.089612727
23000000	20919552	2080440	980880	680040	50160	141600	207120	20640	0.090453913
24000000	21807720	2192280	1026000	711360	52440	148200	231240	23040	0.091345
25000000	22685556	2314440	1070880	742440	54720	154680	265200	26520	0.0925776
26000000	23563152	2436840	1115880	773640	57000	161160	299280	29880	0.093724615
27000000	24440520	2559480	1161000	804960	59400	167640	333240	33240	0.094795556
28000000	25318236	2681760	1205880	836040	61680	174120	367320	36720	0.095777143
29000000	26158992	2841000	1250880	867240	63960	180600	434880	43440	0.097965517
30000000	26980080	3019920	1296000	898560	66240	187200	519960	51960	0.100664
31000000	27801756	3198240	1340880	929640	68520	193680	605040	60480	0.103169032
32000000	28618752	3381240	1385880	960840	70800	200160	694200	69360	0.10566375
33000000	29417640	3582360	1431000	992160	73200	206640	799440	79920	0.108556364
34000000	30191076	3808920	1475880	1023240	75480	213120	928440	92760	0.112027059
35000000	30964152	4035840	1520880	1054440	77760	219600	1057440	105720	0.115309714
36000000	31880040	4119960	1566000	1085760	80040	226200	1056360	105600	0.114443333
37000000	32686476	4313520	1610880	1116840	82320	232680	1155360	115440	0.116581622
38000000	33459432	4540560	1655880	1148040	84720	239160	1284360	128400	0.119488421
39000000	34232400	4767600	1701000	1179360	87000	245640	1413360	141240	0.122246154
40000000	35005716	4994280	1745880	1210440	89280	252120	1542360	154200	0.124857
41000000	35778912	5221080	1790880	1241640	91560	258600	1671360	167040	0.127343415
42000000	36551640	5448360	1836000	1272960	93840	265200	1800360	180000	0.129722857
43000000	37325076	5674920	1880880	1304040	96120	271680	1929360	192840	0.131974884
44000000	38098032	5901960	1925880	1335240	98520	278160	2058360	205800	0.134135455
45000000	38871000	6129000	1971000	1366560	100800	284640	2187360	218640	0.1362
46000000	39644316	6355680	2015880	1397640	103080	291120	2316360	231600	0.138166957
